CONTENT,DATE,AUTHOR,COMMENT_ID,CLASS
(S +447935454150/NN lovely/RB girl/JJ talk/NN to/TO me/PRP xxx﻿/VB),,Lisa Wellas,z12rwfnyyrbsefonb232i5ehdxzkjzjs2,1
"(S
  I/PRP
  always/RB
  end/VBP
  up/RP
  coming/VBG
  back/RB
  to/TO
  this/DT
  song/NN
  </VBZ
  br/JJ
  //NNP
  >/NNP
  ﻿/NN)",2015-05-29T02:26:10.652000,jason graham,z130wpnwwnyuetxcn23xf5k5ynmkdpjrj04,0
"(S
  my/PRP$
  sister/NN
  just/RB
  received/VBN
  over/RP
  6,500/CD
  new/JJ
  </FW
  a/DT
  rel=/NN
  ''/''
  nofollow/NN
  ''/''
  class=/NN
  ''/''
  ot-hashtag/NN
  ''/''
  href=/NN
  ''/''
  https/NN
  :/:
  //plus.google.com/s//CD
  %/NN
  23active/CD
  ''/''
  >/NN
  #/#
  active/JJ
  </NN
  /a/NNP
  >/NNP
  youtube/PRP
  views/NNS
  Right/RB
  now/RB
  ./.
  The/DT
  only/JJ
  thing/NN
  she/PRP
  used/VBD
  was/VBD
  pimpmyviews/NNS
  ./.
  com﻿/NN)",,Ajkal Khan,z13vsfqirtavjvu0t22ezrgzyorwxhpf3,1
(S Cool﻿/NN),2015-05-29T02:13:07.810000,Dakota Taylor,z12wjzc4eprnvja4304cgbbizuved35wxcs,0
(S Hello/NNP I/PRP &/CC #/# 39/CD ;/: am/VBP from/IN Palastine﻿/NNP),,Jihad Naser,z13xjfr42z3uxdz2223gx5rrzs3dt5hna,1
"(S
  Wow/IN
  this/DT
  video/NN
  almost/RB
  has/VBZ
  a/DT
  billion/CD
  views/NNS
  !/.
  Didn/NNP
  &/CC
  #/#
  39/CD
  ;/:
  t/NN
  know/VBP
  it/PRP
  was/VBD
  so/RB
  popular/JJ
  ﻿/NN)",2015-05-29T01:27:30.360000,Darrion Johnson,z133yfmjdur4dvyjr04ceh2osl2fvngrqi4,0
"(S
  (GPE Go/NNP)
  check/NN
  out/IN
  my/PRP$
  rapping/VBG
  video/NN
  called/VBN
  Four/CD
  (GPE Wheels/NNP)
  please/NN
  ❤️﻿/NN)",,kyeman13,z12zgrw5furdsn0sc233hfwavnznyhicq,1
(S Almost/RB 1/CD billion﻿/NN),2015-05-29T00:41:22.426000,Damax,z12vxdzzds2kzzrzq04cdjc4ozq2szuyl5o,0
"(S
  (PERSON Aslamu/NNP)
  (PERSON Lykum/NNP)
  .../:
  From/IN
  Pakistan﻿/NNP)",,Muhammad Asim Mansha,z12gxdortqzwhhqas04cfjrwituzghb5tvk0k,1
"(S
  (GPE Eminem/NNP)
  is/VBZ
  idol/JJ
  for/IN
  very/RB
  people/NNS
  in/IN
  (GPE España/NNP)
  and/CC
  (GPE Mexico/NNP)
  or/CC
  Latinoamerica﻿/NNP)",2015-05-28T23:23:41.231000,JuanPa Rap,z132wd4ywmicxj2gn04cdfhilyryjhmjhk00k,0
(S Help/VB me/PRP get/VB 50/CD subs/JJ please/NN ﻿/NN),,Mjt12,z13si1rx3nnbshdoj04cinipcqzwsdhq0bc,1
(S i/NN love/VBP song/NN :/: )/) ﻿/NN),2015-05-28T23:10:37.700000,emily 13,z13hwbshcnrhztsw204cirfgvregzvywmag,0
"(S
  (GPE Alright/NNP)
  ladies/NNS
  ,/,
  if/IN
  you/PRP
  like/VBP
  this/DT
  song/NN
  ,/,
  then/RB
  check/VB
  out/RP
  (PERSON John/NNP Rage/NNP)
  ./.
  He/PRP
  &/CC
  #/#
  39/CD
  ;/:
  s/VB
  a/DT
  smoking/NN
  hot/JJ
  rapper/NN
  coming/VBG
  into/IN
  the/DT
  game/NN
  ./.
  He/PRP
  &/CC
  #/#
  39/CD
  ;/:
  s/PRP
  not/RB
  better/RBR
  than/IN
  (PERSON Eminem/NNP)
  lyrically/RB
  ,/,
  but/CC
  he/PRP
  &/CC
  #/#
  39/CD
  ;/:
  s/JJ
  hotter/NN
  ./.
  Hear/NNP
  some/DT
  of/IN
  his/PRP$
  songs/NNS
  on/IN
  my/PRP$
  channel.﻿/NN)",,TheJohnRage,z13nsd141x24yjh2m224xvlhisrqet4pj04,1
"(S
  The/DT
  perfect/JJ
  example/NN
  of/IN
  abuse/NN
  from/IN
  husbands/NNS
  and/CC
  the/DT
  thing/NN
  is/VBZ
  I/PRP
  &/CC
  #/#
  39/CD
  ;/:
  m/VB
  a/DT
  feminist/NN
  so/IN
  I/PRP
  definitely/RB
  agree/VBP
  with/IN
  this/DT
  song/NN
  and/CC
  well/RB
  .../:
  if/IN
  I/PRP
  see/VBP
  this/DT
  someone/NN
  &/CC
  #/#
  39/CD
  ;/:
  s/NN
  going/VBG
  to/TO
  die/VB
  !/.
  Just/NNP
  sayin.﻿/NN)",2015-05-28T22:42:19.185000,William Davis,z132ib3jvvqvzjj5t04ccrequzy5jhvr5ps0k,0
