CONTENT,DATE,AUTHOR,COMMENT_ID,CLASS
(S (GPE Nice/NNP) song﻿/NN),2015-05-29T02:30:18.971000,dharma pal,z13lgffb5w3ddx1ul22qy1wxspy5cpkz504,0
(S I/PRP love/VBP song/RB ﻿/JJ),2015-05-29T00:14:48.748000,Tiza Arellano,z123dbgb0mqjfxbtz22ucjc5jvzcv3ykj,0
(S I/PRP love/VBP song/RB ﻿/JJ),2015-05-28T21:00:08.607000,Prìñçeśś Âliś Łøvê Dømíñø Mâđiś™ ﻿,z12quxxp2vutflkxv04cihggzt2azl34pms0k,0
"(S
  860,000,000/CD
  lets/NNS
  make/VBP
  it/PRP
  first/JJ
  female/NN
  to/TO
  reach/VB
  one/CD
  billion/CD
  !/.
  !/.
  Share/NN
  it/PRP
  and/CC
  replay/VB
  it/PRP
  !/.
  ﻿/NN)",2015-05-28T20:47:12.193000,Eric Gonzalez,z12icv3ysqvlwth2c23eddlykyqut5z1h,0
(S shakira/NN is/VBZ best/RBS for/IN worldcup﻿/NN),2015-05-28T17:08:29.827000,Analena López,z133stly3kete3tly22petvwdpmghrlli,0
"(S
  The/DT
  best/JJS
  world/NN
  cup/NN
  song/NN
  ever/RB
  !/.
  !/.
  !/.
  !/.
  ﻿/NN)",2015-05-28T17:06:37.288000,jehoiada wellington,z12myn4rltf4ejddv23mwr3piuapcbl0r,0
(S I/PRP love﻿/VBP),2015-05-28T15:46:42.482000,Kara Cuthbertson,z135vzqy1yrjhluew23kibopnrmqsplux,0
"(S
  SEE/VB
  (ORGANIZATION SOME/NNP)
  MORE/NNP
  SONG/NNP
  OPEN/NNP
  (ORGANIZATION GOOGLE/NNP)
  AND/NNP
  TYPE/NNP
  (PERSON Shakira/NNP)
  GuruOfMovie﻿/NNP)",2015-05-28T10:28:25.133000,Sudheer Yadav,z12uujnj2sifvzvav04chpypvofvexpoggg,1
(S (GPE Awesome/NNP) ﻿/NN),2015-05-28T07:44:52.614000,Alex John,z13lvh1qnma4d15sy23lyvqq5riafz52m,0
(S I/PRP like/VBP shakira..﻿/NNS),2015-05-27T21:31:38.388000,Nirab Valobasha,z135hlk5grfwjhmym04ced0gyzrvsn5avuw0k,0
"(S
  (GPE Shakira/NNP)
  -/:
  (PERSON Waka/NNP Waka/NNP)
  </NNP
  br/NN
  //NNP
  >/NNP
  LOVE/NNP
  THIS/NNP
  SONG/NN
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  ﻿/NN)",2015-05-27T20:43:10.162000,Chelsea Andrews,z121cvvqftuvuz1ld22pe3agcsepzhhtt,0
"(S
  Why/WRB
  so/RB
  many/JJ
  disliked/VBN
  ?/.
  ?/.
  ?/.
  ?/.
  ?/.
  ?/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  😯﻿/NN)",2015-05-27T20:04:41.308000,Kevin Sosa,z12uf5gatnf1dflws04cfrigrxb3zryxtwk0k,0
"(S
  I/PRP
  don/VBP
  &/CC
  #/#
  39/CD
  ;/:
  t/NN
  think/VBP
  this/DT
  song/NN
  will/MD
  ever/RB
  get/VB
  old/JJ
  ﻿/NN)",2015-05-27T19:00:57.936000,OldSchool Music,z13pihfbwlv5hv4ap04ceh3hvonuhvnxueg,0
(S (GPE Love/NNP) song﻿/NN),2015-05-27T16:04:42.059000,Stephen Lister,z13utfk5rny3yzqtj22phlsxmtfuspbcp,0
(S wery/NN good﻿/NN),2015-05-27T14:41:43.081000,Karolína Hlavatá,z13usjdoivinwzsoy04cgv2y0tbjs1s5xn00k,0
"(S
  Every/DT
  time/NN
  I/PRP
  hear/VBP
  this/DT
  song/NN
  ,/,
  I/PRP
  think/VBP
  about/IN
  (PERSON Iniesta/NNP)
  &/CC
  #/#
  39/CD
  ;/:
  s/JJ
  goal/NN
  against/IN
  the/DT
  (GPE Netherlands/NNPS)
  .../:
  ﻿/NN)",2015-05-27T13:51:19.674000,DubCedSky,z12bhf4rzpjsvjmcw22ghd4j4qeqfthpm04,0
"(S
  Whose/JJ
  watching/VBG
  this/DT
  in/IN
  2015/CD
  ./.
  If/IN
  so/RB
  hi-5﻿/JJ)",2015-05-27T13:07:33.766000,akita hachiko,z132i1cj3t2cedajp04cfxcqalbkfzd5fyk0k,0
"(S
  I/PRP
  love/VBP
  this/DT
  song/NN
  so/RB
  much/JJ
  &/CC
  lt/NN
  ;/:
  3/CD
  </NN
  br/NN
  //NNP
  >/NNP
  Keep/NNP
  em/NNP
  &/CC
  #/#
  39/CD
  ;/:
  coming/VBG
  !/.
  ﻿/NN)",2015-05-27T09:27:26.667000,Benjy Growls,z12aw1ah2m2vh30tb22bvl3olkbohlbid04,0
(S i/RB love/VBP this/DT song/NN thumsb/VBZ up/RP to/TO you﻿/VB),2015-05-27T09:24:10.239000,monkey moments,z12cydggrzyesrklw23qwzexerqavj11e,0
(S (GPE Waka/NNP) best/JJS one﻿/NN),2015-05-27T09:14:14.641000,Dr.geetanjali sharma,z12gddhblwz3cf3wc04cgvjajvulwxvb5lw0k,0
"(S
  5/CD
  years/NNS
  later/RB
  i/VBP
  still/RB
  love/VB
  this/DT
  song/NN
  </VBZ
  br/JJ
  //NNP
  >/NNP
  ~Axy665﻿/NN)",2015-05-27T06:57:11.853000,Axy665,z13xwz5p3xq4zxdyv04cir2ammejxj15n2c,0
(S Like﻿/NN),2015-05-27T06:30:54.415000,celma joao tomas anacuja anacuja celma joao tomas,z135glq5fnnielbbd04cchvr2orkurdgrz40k,0
(S Check/VB out/RP this/DT playlist/NN on/IN YouTube/NN :/: ﻿/NN),2015-05-27T04:19:29.178000,Raafat saeed,z13zjlpo2nbehxwf322gelhzwmqwgn1mt,1
"(S
  Her/PRP$
  voice/NN
  sounds/VBZ
  weird/JJ
  and/CC
  plus/CC
  she/PRP
  &/CC
  #/#
  39/CD
  ;/:
  s/NNS
  cute/VBP
  for/IN
  a/DT
  blonde﻿/NN)",2015-05-27T02:51:25.515000,ortiz brown,z12vv1hgirrhz5bh504cejjrstfkt1kq1po0k,0
"(S
  Why/WRB
  there/EX
  are/VBP
  so/RB
  many/JJ
  dislikes/NNS
  ./.
  This/DT
  song/NN
  is/VBZ
  so/RB
  .../:
  awesome/NN
  ./.
  It/PRP
  sounds/VBZ
  like/IN
  we/PRP
  (ORGANIZATION MUST/NNP)
  STOP/NNP
  BE/NNP
  RACISTS/NNP
  !/.
  !/.
  !/.
  If/IN
  I/PRP
  could/MD
  ,/,
  I/PRP
  would/MD
  like/VB
  it/PRP
  1,000,000,000/CD
  times/NNS
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  !/.
  ﻿/NN)",2015-05-26T21:42:43.953000,mike the greek gamer,z12pch5bnqyxttpi004ch3b4usa1wjdg5l40k,0
"(S
  Nice/NNP
  love/VBD
  itttttttt/NN
  wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿/NN)",2015-05-26T21:36:16.925000,Aveonne Walker,z12julhignjmuzlnv230yzipftzvhjzuh,0
(S still/RB watching/VBG in/IN 2015/CD .../: ﻿/NN),2015-05-26T17:19:16.527000,MikeTheOne42,z12jd30zok2te1ghh04cdphgcqmshld5ncg,0
"(S
  (PERSON Shakira/NNP)
  is/VBZ
  my/PRP$
  favourite/JJ
  singer/NN
  ./.
  Wooooo﻿/VB)",2015-05-26T17:16:06.269000,Golden Lion,z12yxbpp3rurin5wc04cf3sqmlrvwlhzgao,0
(S i/JJ remember/VBP this/DT song/NN !/.),2015-05-26T16:45:32.708000,Coc Chitthu,z12yvdxizlrze1osb22xev1xyxakdphe3,0
(S Like﻿/NN),2015-05-26T14:53:14.277000,vuong quang,z13tv3oqtkz0exqhg04cjfgqlyrgipmou20,0
"(S
  Whose/NNP
  who/WP
  are/VBP
  watching/VBG
  this/DT
  in/IN
  2015/CD
  ./.
  LIKE/VB
  !/.
  ﻿/NN)",2015-05-26T14:39:51.793000,Ryan Ramma,z132xfsy4pz5uvyxh04ce50xez2ki53ysaw,0
"(S
  Support/VB
  the/DT
  fight/NN
  for/IN
  your/PRP$
  4th/CD
  amendment/NN
  right/NN
  to/TO
  privacy/VB
  in/IN
  your/PRP$
  home/NN
  ./.
  Stop/VB
  the/DT
  (ORGANIZATION NSA/NNP)
  spying/VBG
  on/IN
  Americans/NNPS
  with/IN
  the/DT
  un/JJ
  (PERSON Patriot/NNP Act/NNP Renewal/NNP)
  ./.
  (PERSON Rand/NNP Paul/NNP)
  has/VBZ
  spent/VBN
  10.5/CD
  hours/NNS
  on/IN
  the/DT
  (ORGANIZATION Senate/NNP)
  floor/NN
  in/IN
  a/DT
  Protest/NNP
  and/CC
  Filibuster/NNP
  fighting/VBG
  for/IN
  our/PRP$
  Constitution/NN
  that/IN
  this/DT
  Nation/NNP
  is/VBZ
  founded/VBN
  on/IN
  ./.
  Join/VB
  the/DT
  fight/NN
  at/IN
  (FACILITY Rand/NNP Paul/NNP)
  dot/NN
  com/NN
  ./.
  Spread/VB
  The/DT
  (ORGANIZATION Word/NNP)
  ./.
  We/PRP
  Have/VBP
  Someone/VBN
  That/DT
  Cares/VBZ
  About/IN
  Our/PRP$
  Nation/NN
  ./.
  Email/VB
  your/PRP$
  Senators/NNS
  ,/,
  (ORGANIZATION Congress/NNP)
  men/NNS
  and/CC
  women/NNS
  ,/,
  tell/VB
  them/PRP
  to/TO
  support/VB
  (GPE Rand/NNP)
  ./.
  Tell/VB
  the/DT
  news/NN
  to/TO
  support/VB
  (GPE Rand/NNP)
  too/RB
  Senator/NNP
  (PERSON Rand/NNP Paul/NNP)
  was/VBD
  up/RB
  until/IN
  </NNP
  a/DT
  href=/NN
  ''/''
  http/NN
  :/:
  //www.youtube.com/watch/NN
  ?/.
  v=pRpeEdMmmQ0/NN
  &/CC
  amp/NN
  ;/:
  t=1m00s/CC
  ''/''
  >/VBZ
  1:00/CD
  </NN
  /a/NNP
  >/NNP
  am/VBP
  this/DT
  passed/VBN
  Saturday/NNP
  morning/NN
  fighting/NN
  for/IN
  our/PRP$
  Constitution/NNP
  buy/NN
  postponing/VBG
  the/DT
  vote/NN
  until/IN
  this/DT
  week/NN
  ./.
  Our/PRP$
  Constitution/NN
  Matters/NNP
  join/NN
  (GPE Rand/NNP)
  in/IN
  the/DT
  fight/NN
  to/TO
  protect/VB
  </PDT
  a/DT
  href=/NN
  ''/''
  http/NN
  :/:
  //it.ht/NN
  ''/''
  >/CC
  it.ht/JJ
  </NNP
  /a/NNP
  >/NNP
  to/TO
  privacy/VB
  in/IN
  your/PRP$
  home/NN
  and/CC
  business../JJ
  Senator/NNP
  (PERSON Rand/NNP Paul/NNP)
  was/VBD
  up/RB
  until/IN
  </NNP
  a/DT
  href=/NN
  ''/''
  http/NN
  :/:
  //www.youtube.com/watch/NN
  ?/.
  v=pRpeEdMmmQ0/NN
  &/CC
  amp/NN
  ;/:
  t=1m00s/CC
  ''/''
  >/VBZ
  1:00/CD
  </NN
  /a/NNP
  >/NNP
  am/VBP
  this/DT
  passed/VBN
  Saturday/NNP
  morning/NN
  fighting/NN
  for/IN
  our/PRP$
  Constitution/NNP
  buy/NN
  postponing/VBG
  the/DT
  vote/NN
  until/IN
  this/DT
  week/NN
  ./.
  Our/PRP$
  Constitution/NN
  Matters/NNS
  To/TO
  All/DT
  Of/IN
  (GPE US/NNP)
  ,/,
  (PERSON Help/NNP Rand/NNP)
  Protect/VB
  It/PRP
  by/IN
  joining/VBG
  the/DT
  fright/NN
  for/IN
  it.﻿/NN)",2015-05-26T14:33:52.496000,Terry Short,z13uhhxp5nvig15yc04citszvtagwtmpqcc,1
(S best/JJS song/NN in/IN world﻿/NN),2015-05-26T09:54:10.695000,marko kacar,z135ihwjrofccvbzu04cehzp3prte5jyccg,0
(S (ORGANIZATION BEAUTIFUL/NN)),2015-05-26T08:11:50.918000,ovidiu mitricioiu,z12rihewvsi0fxgui23bi31bulqvfj5vk,0
(S (GPE Good/JJ) song/NN :/: -/: )/) ﻿/NN),2015-05-26T03:34:08.887000,Agung Handono Susilo,z12wc5uotu3gz1pwd04ce1ly2vjuvxphxuk0k,0
"(S
  She/PRP
  &/CC
  #/#
  39/CD
  ;/:
  s/NNS
  such/PDT
  an/DT
  awesome/JJ
  entertainer/NN
  ./.
  And/CC
  pretty/RB
  too/RB
  !/.
  &/CC
  lt/NN
  ;/:
  3/CD
  (PERSON Shakira/NN)
  !/.
  ﻿/NN)",2015-05-26T03:17:53.672000,Nimesh Nambiar,z13lgjaxhnbzuxxmd22iyh24cwqqwpfiz04,0
(S Check/VB out/RP this/DT video/NN on/IN YouTube/NN :/: ﻿/NN),2015-05-25T23:42:49.533000,‫حلم الشباب‬‎,z13gv1bxbuytgjl3o23fdr5r3kaadbbm1,1
(S Love/VB this/DT song﻿/NN),2015-05-25T22:43:48.266000,Zcoria Kelly,z13vf1mwauyjgj23q22vtppxjlnihr2ro04,0
"(S
  Love/VB
  this/DT
  song/NN
  !/.
  My/PRP$
  soccer/NN
  team/NN
  made/VBD
  a/DT
  cd/NN
  for/IN
  our/PRP$
  couch/NN
  with/IN
  this/DT
  song/NN
  on/IN
  it/PRP
  !/.
  ﻿/NN)",2015-05-25T21:31:01.689000,Spider Girl,z13fsxq5coffdz54p04cjxzppp3ezhhw0u40k,0
(S fave/NN song﻿/NN),2015-05-25T21:08:10.798000,Ernest Foli,z12afj2p2pniy1idm23wclt4ox2wujzj004,0
(S Watching/VBG in/IN 2015﻿/CD),2015-05-25T19:56:09.670000,Laura Gray,z13ue30j3uywfdivm23zgtzoflv0fhqce,0
"(S
  I/PRP
  felt/VBD
  old/JJ
  when/WRB
  I/PRP
  realized/VBD
  that/IN
  this/DT
  song/NN
  was/VBD
  5/CD
  years/NNS
  old/JJ
  .../:
  ﻿/NN)",2015-05-25T19:48:16.265000,Trygve Nilsen,z12wuxjqmqjbyjab404cidxofne4ftup35c,0
(S love/VB (PERSON Shakira/NNP) !/. ﻿/NN),2015-05-25T18:00:22.486000,Сергей Андреевич,z13iuzxghsypjtfwy04ccnewbqbde3qwea0,0
"(S
  One/CD
  of/IN
  the/DT
  best/JJS
  song/NN
  of/IN
  all/PDT
  the/DT
  time﻿/NN)",2015-05-25T16:39:15.791000,adey lanre,z13yi50hjzqgitubv04cfhzyby3ystsrh5g,0
"(S
  I/PRP
  really/RB
  am/VBP
  madly/RB
  in/IN
  love/NN
  with/IN
  this/DT
  woman/NN
  !/.
  !/.
  ﻿/NN)",2015-05-25T15:53:41.740000,bossdon redhouse,z13udxpqgtnnxt10o232vhgbspnveld0c,0
"(S
  i/NN
  totally/RB
  love/VB
  this/DT
  song/NN
  ./.
  absolutely/RB
  fantastic/JJ
  !/.
  i/NN
  love/VBP
  ya/NN
  shakira/NN
  !/.
  ﻿/NN)",2015-05-25T14:43:55.353000,Eidya Pal,z13ywdzqsnmjhts2v22qzrhpxzn5frizg04,0
(S im/NN still/RB watching/VBG in/IN 2015﻿/CD),2015-05-25T14:05:41.188000,Ed Garcon,z135znoyckynyhfyc04cj1qzturycx24aw40k,0
(S the/DT song/NN is/VBZ sad﻿/JJ),2015-05-25T14:05:18.188000,rachel perez,z13uxtggrz25vlgcy225xf5yqweagnrra04,0
(S goood﻿/NN),2015-05-25T11:21:16.857000,Ibtihal Baho,z13ijbpyhnvtddsue223c3pgilfjs3pmv,0
"(S
  The/DT
  best/JJS
  (ORGANIZATION FIFA/NNP)
  world/NN
  cup/NN
  song/NN
  for/IN
  sure.﻿/NN)",2015-05-25T08:59:50.837000,Viv Varghese,z13cvpcyiqr5xnfmj235exiwvlqre514d04,0
(S (GPE Nice/NNP) vídeo/NN shakira/NN good﻿/NN),2015-05-25T08:08:49.121000,Thiago Andrade,z12csjyqqru3tvlcb22hz3vrrn3jzfzyg04,0
